;MODEL;MODEL_INDEX;MODEL_DESCRIPTION;FORECAST_HORIZON;PAST_HISTORY_FACTOR;PAST_HISTORY;BATCH_SIZE;EPOCHS;STEPS;OPTIMIZER;LEARNING_RATE;NORMALIZATION;TEST_TIME;TRAINING_TIME;mae_train;mae_test;LOSS;VAL_LOSS
214;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;90;90;64;5;15;Adam;0.01;minmax;0.7905564308166504;5.787164688110352;0.0001624584355629;0.0001789070603111;[0.4972650110721588, 0.1606404334306717, 0.12506452202796936, 0.12115491181612015, 0.113151416182518];[0.13846512138843536, 0.12069899588823318, 0.11791503429412842, 0.12297215312719345, 0.11696559190750122]
215;mlp;0;{'hidden_layers': [32, 16, 8]};1;90;90;64;5;15;Adam;0.01;minmax;0.0013399124145507;1.0228240489959717;0.0002066527687205;0.0001948039311556;[1.5369247198104858, 0.2397712618112564, 0.133894681930542, 0.13323552906513214, 0.1270291656255722];[0.1414749175310135, 0.1346709430217743, 0.13293853402137756, 0.13019438087940216, 0.12735863029956818]
216;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;120;120;32;5;29;Adam;0.001;minmax;0.0022361278533935;2.8735291957855225;0.0001593407567217;0.0001680563361467;[0.15773683786392212, 0.12314612418413162, 0.12064362317323685, 0.11420600861310959, 0.11085379868745804];[0.138210266828537, 0.11879993975162506, 0.11434676498174667, 0.11214572191238403, 0.10987178981304169]
217;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;120;120;32;5;29;Adam;0.001;minmax;0.0020549297332763;2.853774309158325;0.0001929706338527;0.0001893322154463;[0.15720698237419128, 0.13284896314144135, 0.12268874049186707, 0.11441405862569809, 0.11472874134778976];[0.1477086991071701, 0.11259585618972778, 0.11017023026943207, 0.11091698706150055, 0.1237814724445343]
218;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;120;120;32;5;29;Adam;0.001;minmax;0.0036373138427734;3.7406489849090576;0.0001859415488256;0.000198656738699;[0.21225568652153015, 0.1425088793039322, 0.13835954666137695, 0.12697726488113403, 0.1215333566069603];[0.17879995703697205, 0.13439883291721344, 0.12564784288406372, 0.1253397911787033, 0.12987753748893738]
219;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;120;120;32;5;29;Adam;0.001;minmax;0.0035414695739746;3.768638610839844;0.000212470776115;0.0002460539654148;[0.21948020160198212, 0.15211836993694305, 0.15237632393836975, 0.1471228301525116, 0.14312615990638733];[0.2115529328584671, 0.17211279273033142, 0.174777552485466, 0.1653987169265747, 0.1608644276857376]
220;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;120;120;32;5;29;Adam;0.001;minmax;0.8126225471496582;5.944837093353272;0.0001915203227223;0.000194878176201;[0.23724068701267242, 0.17232079803943634, 0.14685648679733276, 0.1412637084722519, 0.1477740854024887];[0.19008822739124298, 0.17381426692008972, 0.14502528309822083, 0.1283753663301468, 0.12740714848041534]
221;mlp;0;{'hidden_layers': [32, 16, 8]};1;120;120;32;5;29;Adam;0.001;minmax;0.001255989074707;1.1124992370605469;0.0001880706685815;0.00019679620408;[0.40364590287208557, 0.1837088167667389, 0.15852484107017517, 0.14819985628128052, 0.1360519379377365];[0.17817477881908417, 0.18233732879161835, 0.14888066053390503, 0.1789771020412445, 0.12866628170013428]
222;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;120;120;32;5;29;Adam;0.01;minmax;0.0021753311157226;2.844959020614624;0.0001600674530007;0.0001647431602599;[0.24151481688022614, 0.13120856881141663, 0.12144871056079865, 0.1166233941912651, 0.11026182025671005];[0.15047842264175415, 0.12614116072654724, 0.13263049721717834, 0.13945551216602325, 0.10770568996667862]
223;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;120;120;32;5;29;Adam;0.01;minmax;0.0020399093627929;2.86651873588562;0.0002015956683848;0.0002019066231334;[0.37101179361343384, 0.15692786872386932, 0.14761506021022797, 0.14337952435016632, 0.13771231472492218];[0.13232752680778503, 0.1435120403766632, 0.14977268874645233, 0.1404852569103241, 0.13200226426124573]
224;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;120;120;32;5;29;Adam;0.01;minmax;0.0038995742797851;3.763980865478516;0.0001558283839767;0.0001683985544144;[0.166494682431221, 0.12987293303012848, 0.11903703212738037, 0.11446700245141983, 0.11320354789495468];[0.12437241524457932, 0.11526908725500107, 0.11907283961772919, 0.15196238458156586, 0.11009547859430313]
225;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;120;120;32;5;29;Adam;0.01;minmax;0.0034577846527099;3.721601247787476;0.0001808736621854;0.0002465165323903;[0.1891479641199112, 0.15167850255966187, 0.1359224021434784, 0.12407394498586655, 0.11591082066297531];[0.22556138038635254, 0.18219661712646484, 0.13072644174098969, 0.11239136010408401, 0.1611672192811966]
226;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;120;120;32;5;29;Adam;0.01;minmax;0.7987298965454102;5.914525508880615;0.0001852008775762;0.0001688060870762;[0.3866143524646759, 0.15318287909030914, 0.1202571913599968, 0.11346686631441116, 0.10877675563097];[0.2082272619009018, 0.11721482872962952, 0.11654789000749588, 0.10896103084087372, 0.11036179959774017]
227;mlp;0;{'hidden_layers': [32, 16, 8]};1;120;120;32;5;29;Adam;0.01;minmax;0.0012800693511962;1.0961408615112305;0.0001861707261254;0.0001899926826953;[5.039464950561523, 0.351736456155777, 0.14842158555984497, 0.12828488647937775, 0.12602366507053375];[0.7759072780609131, 0.1519017517566681, 0.16634219884872437, 0.1240127757191658, 0.12420294433832169]
228;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;120;120;64;5;15;Adam;0.001;minmax;0.0022525787353515;2.768662691116333;0.0001867138270526;0.000185330618153;[0.2703253924846649, 0.16436807811260223, 0.13884598016738892, 0.12673252820968628, 0.12287802249193192];[0.26105108857154846, 0.13154101371765137, 0.12378425896167755, 0.12056941539049149, 0.12116533517837524]
229;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;120;120;64;5;15;Adam;0.001;minmax;0.0020220279693603;2.7666807174682617;0.0001908424474257;0.0001750080595346;[0.21743525564670563, 0.1580583155155182, 0.14578665792942047, 0.13830867409706116, 0.12980224192142487];[0.13095927238464355, 0.16486340761184692, 0.1551077514886856, 0.12558457255363464, 0.11441683769226074]
230;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;120;120;64;5;15;Adam;0.001;minmax;0.003608226776123;3.599546194076538;0.0002036801073366;0.0001910587481565;[0.31026989221572876, 0.16452287137508392, 0.14793971180915833, 0.1416560411453247, 0.136213019490242];[0.12151844054460526, 0.1971363127231598, 0.15414540469646454, 0.1349981427192688, 0.12491017580032349]
231;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;120;120;64;5;15;Adam;0.001;minmax;0.0035028457641601;3.576759099960327;0.0002252078724397;0.0002610468803259;[0.20737296342849731, 0.16015584766864777, 0.15523631870746613, 0.15116894245147705, 0.1494959145784378];[0.2448142021894455, 0.1641102433204651, 0.1705753654241562, 0.18774057924747467, 0.17066675424575806]
232;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;120;120;64;5;15;Adam;0.001;minmax;0.8098313808441162;5.813485383987427;0.0002309119763898;0.0001970777781657;[0.2554333806037903, 0.18106117844581604, 0.1644335836172104, 0.14794963598251343, 0.13798567652702332];[0.20632411539554596, 0.154063418507576, 0.14184540510177612, 0.1474163681268692, 0.12884521484375]
233;mlp;0;{'hidden_layers': [32, 16, 8]};1;120;120;64;5;15;Adam;0.001;minmax;0.0012619495391845;1.0293824672698977;0.0002036892515281;0.0001832646415026;[0.4201826751232147, 0.24166741967201233, 0.17870889604091644, 0.15073290467262268, 0.13888637721538544];[0.28327134251594543, 0.1867888867855072, 0.14429718255996704, 0.14069779217243195, 0.11982529610395432]
234;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;120;120;64;5;15;Adam;0.01;minmax;0.0021605491638183;2.7613325119018555;0.0001748157370281;0.0001757468693151;[0.288021981716156, 0.14022113382816315, 0.1286831945180893, 0.1228492483496666, 0.11803652346134186];[0.12161463499069214, 0.12189355492591858, 0.11954227834939957, 0.11927607655525208, 0.11489968001842499]
235;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;120;120;64;5;15;Adam;0.01;minmax;0.0020694732666015;2.784124851226806;0.0002358173718228;0.0002558438619249;[0.6286489963531494, 0.18484631180763245, 0.16229455173015594, 0.15637315809726715, 0.15437491238117218];[0.3660345673561096, 0.14853185415267944, 0.17339757084846497, 0.1867191344499588, 0.16726522147655487]
236;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;120;120;64;5;15;Adam;0.01;minmax;0.0036008358001708;3.611530303955078;0.0001814231021481;0.0002454913939637;[0.1806650608778, 0.12999068200588226, 0.12878258526325226, 0.12481358647346497, 0.11949823796749115];[0.12369905412197113, 0.11449556797742844, 0.12400255352258682, 0.10923880338668823, 0.16049723327159882]
237;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;120;120;64;5;15;Adam;0.01;minmax;0.0035223960876464;3.5925161838531494;0.0002053889220946;0.0002086671464314;[0.20591679215431213, 0.15157297253608704, 0.1461249589920044, 0.1387307196855545, 0.13741126656532288];[0.18466708064079285, 0.13976910710334778, 0.14153678715229034, 0.1192111000418663, 0.13642247021198273]
238;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;120;120;64;5;15;Adam;0.01;minmax;0.8205833435058594;5.846935033798218;0.0001677394812919;0.0002562607812385;[1.0644354820251465, 0.23005914688110352, 0.14704923331737518, 0.12451756000518799, 0.11934708058834076];[0.16354940831661224, 0.20845219492912292, 0.15450069308280945, 0.12897630035877228, 0.16753777861595154]
239;mlp;0;{'hidden_layers': [32, 16, 8]};1;120;120;64;5;15;Adam;0.01;minmax;0.0012238025665283;1.0451462268829346;0.0002017455189856;0.0002233170317782;[4.7123236656188965, 1.0948799848556519, 0.3185018301010132, 0.162943497300148, 0.13240297138690948];[2.784217119216919, 0.4029339551925659, 0.15460579097270966, 0.12084433436393738, 0.145980104804039]
240;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;15;15;32;5;33;Adam;0.001;zscore;0.0021185874938964;2.918384313583374;0.0001503792828122;0.000147263873751;[0.7952263951301575, 0.6511642932891846, 0.5976343154907227, 0.5663158297538757, 0.5414367914199829];[0.6949992179870605, 0.59226393699646, 0.5597845315933228, 0.532163143157959, 0.5143740773200989]
241;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;15;15;32;5;33;Adam;0.001;zscore;0.0019710063934326;2.907841205596924;0.0001485775245515;0.0001428223779618;[0.8024309277534485, 0.7084479928016663, 0.6368824243545532, 0.5707025527954102, 0.5333068370819092];[0.8639187812805176, 0.764541745185852, 0.5616116523742676, 0.5206958651542664, 0.4988604784011841]
242;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;15;15;32;5;33;Adam;0.001;zscore;0.0036392211914062;3.801923751831055;0.0001476824525842;0.0001530258992408;[0.7743440270423889, 0.6645693182945251, 0.5815420746803284, 0.5488178133964539, 0.5281237959861755];[0.8047471642494202, 0.6309067606925964, 0.5592721700668335, 0.5451522469520569, 0.5345001220703125]
243;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;15;15;32;5;33;Adam;0.001;zscore;0.00350022315979;3.789041996002197;0.000146658677359;0.000149823500368;[0.7731414437294006, 0.6863171458244324, 0.6185873746871948, 0.5567711591720581, 0.5254397392272949];[0.8557330965995789, 0.6507769227027893, 0.5774699449539185, 0.5383418202400208, 0.5233144760131836]
244;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;15;15;32;5;33;Adam;0.001;zscore;0.8054602146148682;5.930984020233154;0.0001523369815239;0.0001565595649625;[0.8420065641403198, 0.652413010597229, 0.5943740606307983, 0.5625149011611938, 0.5431187748908997];[0.7133662700653076, 0.618511438369751, 0.5641342997550964, 0.5529993772506714, 0.5468426942825317]
245;mlp;0;{'hidden_layers': [32, 16, 8]};1;15;15;32;5;33;Adam;0.001;zscore;0.0012574195861816;1.1298315525054932;0.0001443618819102;0.0001475784746149;[0.9194130897521973, 0.6111096143722534, 0.5590510368347168, 0.5347462892532349, 0.5272384285926819];[0.741654098033905, 0.6400098204612732, 0.5619574189186096, 0.5265156626701355, 0.515472948551178]
246;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;15;15;32;5;33;Adam;0.01;zscore;0.0021026134490966;2.9073524475097656;0.000114388895516;0.0001428663245785;[0.5912987589836121, 0.4960866868495941, 0.47247546911239624, 0.43639740347862244, 0.4323647618293762];[0.4979621469974518, 0.4851109981536865, 0.4966219365596771, 0.5162923336029053, 0.4990139901638031]
247;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;15;15;32;5;33;Adam;0.01;zscore;0.0019798278808593;2.8962714672088623;0.0001186445968999;0.0001530824392622;[0.6116378903388977, 0.4956050515174866, 0.46099451184272766, 0.4538189470767975, 0.4159088134765625];[0.513163685798645, 0.485739141702652, 0.5128897428512573, 0.47537124156951904, 0.5346975326538086]
248;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;15;15;32;5;33;Adam;0.01;zscore;0.0036661624908447;3.789801836013794;0.0001115778960008;0.0001324938423666;[0.6135916113853455, 0.5303460359573364, 0.4929419457912445, 0.4677083194255829, 0.44537636637687683];[0.6122584939002991, 0.573113739490509, 0.4945509731769562, 0.4901268780231476, 0.4627842307090759]
249;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;15;15;32;5;33;Adam;0.01;zscore;0.0034356117248535;3.77949595451355;0.0001153380227347;0.0001378838215197;[0.6471730470657349, 0.5407330989837646, 0.4834320545196533, 0.46518003940582275, 0.43704280257225037];[0.6472075581550598, 0.528156042098999, 0.531254231929779, 0.45762136578559875, 0.4816107451915741]
250;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;15;15;32;5;33;Adam;0.01;zscore;0.8127949237823486;5.947962284088135;0.0001297735724183;0.0001504186047937;[0.6309182643890381, 0.5356311798095703, 0.4963851571083069, 0.48485609889030457, 0.4771883487701416];[0.7553772330284119, 0.521981418132782, 0.6716090440750122, 0.4873376786708832, 0.5253931879997253]
251;mlp;0;{'hidden_layers': [32, 16, 8]};1;15;15;32;5;33;Adam;0.01;zscore;0.0011794567108154;1.1300809383392334;0.0001435725286205;0.0001554264132095;[0.6588951349258423, 0.5538876056671143, 0.5211669206619263, 0.5165764689445496, 0.5126121044158936];[0.5228741765022278, 0.5220856666564941, 0.5087438225746155, 0.5445820093154907, 0.5428847670555115]
252;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;15;15;64;5;17;Adam;0.001;zscore;0.0020437240600585;2.761657953262329;0.0001520688617751;0.0001523743238839;[0.7242884635925293, 0.6234720945358276, 0.5730645656585693, 0.5512301325798035, 0.5391041040420532];[0.6802089810371399, 0.5878875851631165, 0.5528020858764648, 0.5428283214569092, 0.532224178314209]
253;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;15;15;64;5;17;Adam;0.001;zscore;0.0019567012786865;2.764040946960449;0.0001703888739472;0.000151541615896;[0.7615634202957153, 0.7146861553192139, 0.6754715442657471, 0.6426201462745667, 0.6113954186439514];[0.7467740774154663, 0.678139328956604, 0.6372172236442566, 0.5801114439964294, 0.529315710067749]
254;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;15;15;64;5;17;Adam;0.001;zscore;0.0036218166351318;3.631260395050049;0.0001616005483492;0.0001628979066673;[0.7962265014648438, 0.7522252202033997, 0.6862952709197998, 0.6211439967155457, 0.5777105093002319];[0.8741387128829956, 0.786321222782135, 0.6901936531066895, 0.5823749899864197, 0.5689817667007446]
255;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;15;15;64;5;17;Adam;0.001;zscore;0.0037276744842529;3.590066909790039;0.0001637357957209;0.0001579432406879;[0.7951695919036865, 0.7552813291549683, 0.7109607458114624, 0.661805272102356, 0.6071532368659973];[0.8864510655403137, 0.8872475028038025, 0.8328652381896973, 0.6663064360618591, 0.5516757369041443]
256;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;15;15;64;5;17;Adam;0.001;zscore;0.8046708106994629;5.799381971359253;0.0001656499292942;0.0001695259084336;[0.7862822413444519, 0.692664384841919, 0.6442127227783203, 0.6141695380210876, 0.5929356217384338];[0.7353268265724182, 0.6635043621063232, 0.6446075439453125, 0.6104596853256226, 0.592132568359375]
257;mlp;0;{'hidden_layers': [32, 16, 8]};1;15;15;64;5;17;Adam;0.001;zscore;0.0012011528015136;1.0290942192077637;0.0001521230852895;0.0001513480558749;[1.0418360233306885, 0.7093452215194702, 0.6077399849891663, 0.5674198269844055, 0.5603876113891602];[0.831449568271637, 0.6014972925186157, 0.5685265064239502, 0.546364963054657, 0.5286396145820618]
258;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;15;15;64;5;17;Adam;0.01;zscore;0.002166748046875;2.777924060821533;0.000124474176328;0.0001370231239949;[0.6144422888755798, 0.5266605615615845, 0.4887261390686035, 0.4903370141983032, 0.4555060863494873];[0.5075251460075378, 0.508948802947998, 0.4823755919933319, 0.48072993755340576, 0.47860440611839294]
259;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;15;15;64;5;17;Adam;0.01;zscore;0.001971960067749;2.759544134140014;0.0001226100059039;0.0001398269522537;[0.6416064500808716, 0.5267891883850098, 0.494274765253067, 0.4806770384311676, 0.4537321627140045];[0.5538794994354248, 0.517099916934967, 0.48784029483795166, 0.5386887192726135, 0.48839786648750305]
260;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;15;15;64;5;17;Adam;0.01;zscore;0.0035600662231445;3.59842300415039;0.0001290350289684;0.0001364635502895;[0.6740806698799133, 0.553862988948822, 0.5155107378959656, 0.4862516522407532, 0.47978973388671875];[0.5604968070983887, 0.531671941280365, 0.5026982426643372, 0.5085532069206238, 0.4766499102115631]
261;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;15;15;64;5;17;Adam;0.01;zscore;0.0034236907958984;3.5989813804626465;0.0001335118817612;0.0001775515925639;[0.6926274299621582, 0.5522147417068481, 0.5205023884773254, 0.523837149143219, 0.4814479649066925];[0.598524272441864, 0.5380713939666748, 0.5245036482810974, 0.5023025870323181, 0.6201652884483337]
262;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;15;15;64;5;17;Adam;0.01;zscore;0.8114469051361084;5.852131605148315;0.0001370049152677;0.0001434938472578;[0.6383953094482422, 0.5471910834312439, 0.5207263231277466, 0.5178436040878296, 0.49327489733695984];[0.5534558892250061, 0.6305176019668579, 0.5097021460533142, 0.5307145714759827, 0.5012058615684509]
263;mlp;0;{'hidden_layers': [32, 16, 8]};1;15;15;64;5;17;Adam;0.01;zscore;0.0011565685272216;1.0467665195465088;0.0001420145710353;0.000141507989435;[1.163901686668396, 0.5699246525764465, 0.5194026827812195, 0.548881471157074, 0.5152489542961121];[0.641068696975708, 0.4925025403499603, 0.5167375802993774, 0.5144515037536621, 0.4942695200443268]
264;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;30;30;32;5;32;Adam;0.001;zscore;0.0020408630371093;2.8731470108032227;0.0001436720124055;0.0001480222200284;[0.7403782606124878, 0.6226195096969604, 0.5774387121200562, 0.5456087589263916, 0.5193849802017212];[0.6136528849601746, 0.5732524991035461, 0.5413699746131897, 0.5211333632469177, 0.5170226693153381]
265;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;30;30;32;5;32;Adam;0.001;zscore;0.0020368099212646;2.87597918510437;0.0001432468428788;0.000147848331429;[0.7422916889190674, 0.634519100189209, 0.5712108612060547, 0.5366560816764832, 0.5152957439422607];[0.6826848387718201, 0.5567401051521301, 0.5322564840316772, 0.5469923615455627, 0.5164154767990112]
266;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;30;30;32;5;32;Adam;0.001;zscore;0.003690481185913;3.8024535179138175;0.0001454075893797;0.0001446824645745;[0.7741247415542603, 0.6684339642524719, 0.5773059129714966, 0.5442505478858948, 0.525324285030365];[0.7315608263015747, 0.5592213869094849, 0.5248586535453796, 0.5282776951789856, 0.505357563495636]
267;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;30;30;32;5;32;Adam;0.001;zscore;0.0035679340362548;3.77116584777832;0.0001417304559612;0.0001435827607208;[0.7855201959609985, 0.6837930083274841, 0.5740221738815308, 0.5358216762542725, 0.5116996765136719];[0.8188381195068359, 0.591045618057251, 0.5345192551612854, 0.5142397880554199, 0.5015163421630859]
268;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;30;30;32;5;32;Adam;0.001;zscore;0.8050343990325928;5.920275688171387;0.0001489467611279;0.0001726598422459;[0.9688063263893127, 0.6842502951622009, 0.6111623644828796, 0.5733974575996399, 0.544630229473114];[0.7997190356254578, 0.6365736126899719, 0.70501708984375, 0.5962595343589783, 0.6030789613723755]
269;mlp;0;{'hidden_layers': [32, 16, 8]};1;30;30;32;5;32;Adam;0.001;zscore;0.0011420249938964;1.11279559135437;0.0001457156429867;0.000147485573273;[0.9982456564903259, 0.6261398196220398, 0.5545493960380554, 0.5381308197975159, 0.5152296423912048];[0.6451461315155029, 0.5746162533760071, 0.66567063331604, 0.5622259378433228, 0.5151453614234924]
270;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;30;30;32;5;32;Adam;0.01;zscore;0.002108097076416;2.9361226558685303;0.00010114634823;0.0001295427773221;[0.6191935539245605, 0.4928048551082611, 0.4573715627193451, 0.42344582080841064, 0.3964901864528656];[0.508604884147644, 0.4693569540977478, 0.5002378821372986, 0.46133020520210266, 0.4524770677089691]
271;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;30;30;32;5;32;Adam;0.01;zscore;0.0019991397857666;2.893010139465332;9.84764531455952e-05;0.0001368142794267;[0.6110745668411255, 0.49414578080177307, 0.44230350852012634, 0.41849181056022644, 0.3845619261264801];[0.5737389326095581, 0.4753167927265167, 0.49583086371421814, 0.5019580721855164, 0.47787511348724365]
272;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;30;30;32;5;32;Adam;0.01;zscore;0.0063409805297851;3.939577341079712;0.0001118891312546;0.0001461129281343;[0.6226929426193237, 0.5205603241920471, 0.4735172688961029, 0.4611856937408447, 0.43910130858421326];[0.5453816652297974, 0.51231849193573, 0.5788065791130066, 0.49884748458862305, 0.5103543400764465]
273;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;30;30;32;5;32;Adam;0.01;zscore;0.0034623146057128;3.771095991134644;0.0001035000549115;0.0001405077935043;[0.6355133056640625, 0.5178442597389221, 0.483148992061615, 0.446696400642395, 0.4085642695426941];[0.5230649709701538, 0.5183631777763367, 0.49671879410743713, 0.46177375316619873, 0.49077633023262024]
274;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;30;30;32;5;32;Adam;0.01;zscore;0.8153820037841797;5.901453971862793;0.0001488396443464;0.0002098109889148;[0.8011285662651062, 0.5495561957359314, 0.5003728866577148, 0.4941684901714325, 0.47100621461868286];[0.8241600394248962, 0.5383812785148621, 0.5722739696502686, 0.5150830149650574, 0.732843279838562]
275;mlp;0;{'hidden_layers': [32, 16, 8]};1;30;30;32;5;32;Adam;0.01;zscore;0.0011928081512451;1.1214373111724854;0.0001367002469237;0.0001363587724869;[0.7494544982910156, 0.5600851774215698, 0.5503614544868469, 0.5308936238288879, 0.5037301778793335];[0.538081169128418, 0.7327956557273865, 0.6869637370109558, 0.5710963010787964, 0.4762931168079376]
276;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;30;30;64;5;16;Adam;0.001;zscore;0.0021986961364746;2.7868096828460693;0.000155968160768;0.0001521528436973;[0.734535276889801, 0.6555085182189941, 0.6173805594444275, 0.5856765508651733, 0.5583274364471436];[0.6484264135360718, 0.5957878232002258, 0.5627734661102295, 0.542208194732666, 0.531450629234314]
277;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;30;30;64;5;16;Adam;0.001;zscore;0.0020403861999511;2.772690773010254;0.0001577984829908;0.0001444179570077;[0.780392050743103, 0.7091091871261597, 0.6503968238830566, 0.6049630641937256, 0.5695011615753174];[0.7535648941993713, 0.6238662004470825, 0.5429984927177429, 0.5089409351348877, 0.5044336915016174]
278;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;30;30;64;5;16;Adam;0.001;zscore;0.0035042762756347;3.5790319442749023;0.0001570757621584;0.0001615928664194;[0.7909475564956665, 0.7405518293380737, 0.6656203269958496, 0.595635175704956, 0.567796528339386];[0.8211233019828796, 0.7254559397697449, 0.6093888878822327, 0.5812712907791138, 0.5644233822822571]
279;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;30;30;64;5;16;Adam;0.001;zscore;0.0035676956176757;3.58976411819458;0.0001542103418674;0.0001516472263749;[0.7911596298217773, 0.7321862578392029, 0.6568584442138672, 0.5941597819328308, 0.5529521703720093];[0.8447716236114502, 0.7275584936141968, 0.5929204821586609, 0.5320128798484802, 0.5296846032142639]
280;cnn;0;{'conv_blocks': [[16, 3, 2]]};1;30;30;64;5;16;Adam;0.001;zscore;0.8207190036773682;5.831512212753296;0.0001571034753965;0.0001813082713709;[0.7656254768371582, 0.6647351384162903, 0.6079805493354797, 0.5881673097610474, 0.5668233036994934];[0.7846945524215698, 0.71583491563797, 0.6667400598526001, 0.6390958428382874, 0.6332868337631226]
281;mlp;0;{'hidden_layers': [32, 16, 8]};1;30;30;64;5;16;Adam;0.001;zscore;0.001209020614624;1.0375666618347168;0.0001534033311552;0.0001766043392382;[1.1943457126617432, 0.7303734421730042, 0.6432372331619263, 0.5847935676574707, 0.5501603484153748];[0.9304887056350708, 0.8405053019523621, 0.6416420340538025, 0.6049131751060486, 0.616856575012207]
282;lstm;0;{'layers': 1, 'units': 32, 'return_sequence': True};1;30;30;64;5;16;Adam;0.01;zscore;0.0020859241485595;2.7844367027282715;0.0001067889462857;0.0001292246896111;[0.611147940158844, 0.5044313073158264, 0.4606785774230957, 0.4244621694087982, 0.39706867933273315];[0.5169658064842224, 0.48895663022994995, 0.46176430583000183, 0.4861709475517273, 0.4513654410839081]
283;lstm;1;{'layers': 1, 'units': 32, 'return_sequence': False};1;30;30;64;5;16;Adam;0.01;zscore;0.0020534992218017;2.761140823364258;0.0001099386317489;0.0001515360427643;[0.6727718114852905, 0.5221089124679565, 0.47298571467399597, 0.4377261698246002, 0.40872102975845337];[0.5238246917724609, 0.547154426574707, 0.4747771620750427, 0.4975331723690033, 0.5292962193489075]
284;lstm;2;{'layers': 2, 'units': 32, 'return_sequence': True};1;30;30;64;5;16;Adam;0.01;zscore;0.0036091804504394;3.5838699340820312;0.0001197091129541;0.0001369907331131;[0.6848413944244385, 0.5553002953529358, 0.5045847296714783, 0.47900545597076416, 0.4601668417453766];[0.55495685338974, 0.5076723098754883, 0.48259103298187256, 0.46915188431739807, 0.47849127650260925]
285;lstm;3;{'layers': 2, 'units': 32, 'return_sequence': False};1;30;30;64;5;16;Adam;0.01;zscore;0.0035040378570556;3.5948758125305176;0.0001101431399006;0.0001307922545464;[0.6674973368644714, 0.5225579142570496, 0.46696117520332336, 0.43947112560272217, 0.41407573223114014];[0.5575639009475708, 0.48610901832580566, 0.5228290557861328, 0.4866538643836975, 0.4568408131599426]
